,Client 1,,Client 2,,Client 3,
Time,RT,STD,RT,STD,RT,STD
2585,16542,10550.13,17594,8445.52,17462,10545.63
2590,16574,7834.85,17315,9520.79,17030,9395.27
2595,17169,9222.65,17027,8927.04,16559,9030.71
2600,17127,9405.18,17821,10029.05,17139,9849.45
2605,16809,10031.37,17158,9408.51,16639,8986.6
2610,16353,8925.46,16690,9148.89,16415,8406.68
2615,16094,8818,15271,7799.43,15353,8377.12
2620,15530,8934.09,17618,10043.17,16095,9350.76
2625,15889,8884.26,17308,8838.78,16298,8936.02
2630,17482,10333.88,16960,11719.52,16577,11686.98
2635,16432,11667.65,18004,10426.49,16930,9691.13
2640,17179,8682.7,17616,9725.41,17295,9507.05
2645,16653,9726.79,16939,8410.75,16143,8240.79
2650,16086,8029.42,17215,9928.25,16587,9066.97
2655,16760,10489.46,16459,12264.94,15919,9062.61
2660,15663,11573.34,17993,16056.06,17181,17991.39
2665,17696,15865.84,17436,15101.42,16418,11591.22
2670,17058,15424.95,16593,8514.34,16486,12445.45
2675,15872,7420.73,16934,9903.65,16450,9832.2
2680,16256,9606.21,16110,11072.91,15949,10402.78
2685,16126,13626.83,16792,12693.43,16242,11372.18
2690,15600,9734.3,16555,8184.54,15835,9848.42
2695,15862,8099.32,15781,6916.91,15635,7010.92
2700,15593,6942.52,16332,10138.63,15692,9663.24
2705,15930,10608.3,17081,11495.1,16651,11267.28
2710,15861,10814.81,15079,8293.33,14178,7544.99
2715,14463,8032.81,17057,11188.35,16986,11550.92
2720,16693,11190.27,16468,8234.97,15600,7731.97
2725,15987,8005.41,17276,12361.93,16884,12141.56
2730,16468,12645.39,17036,17295.02,16781,17646.36
2735,16534,17188.69,16431,8729.54,15801,8264.87
2740,15862,8189.74,15847,9892.15,15209,9515.25
2745,15365,10520.1,16242,8863.5,15908,9218.81
2750,16616,12446.1,17014,13595.03,16103,12267.75
2755,15724,9529.2,16011,8885.89,15721,10077.72
2760,15704,9083.72,15497,8112.34,15336,7736.68
2765,14927,8961.26,15567,8714.25,14936,8771.72
2770,15270,7653.84,16149,13734.93,15174,11719.47
2775,15234,13531.88,16090,12792.17,15807,14063.55
2780,15586,12540.22,15543,9389.49,15377,8565.68
2785,15640,9393.02,15932,10060.51,15227,9750.7
2790,15376,10758.69,16011,10787.7,15446,10451.53
2795,15724,9988.65,17186,9890.83,16256,10109.79
2800,16741,9867.61,16487,9227.99,16515,9936.57
2805,15828,9300.74,16313,9978.71,15783,8625.14
2810,16584,9911.59,16907,13087.92,16568,13322.87
2815,15441,12530.67,14074,7079.05,13800,7407.98
2820,14086,7594.36,16778,10157.74,15582,9186.61
2825,16677,11511.93,16091,10158.44,15422,10561.45
2830,15399,8282.87,17094,18019.33,16135,13971.1
2835,16669,17999.55,16453,8472.28,16569,13570.81
2840,15934,7847.07,17401,9618.45,16560,8260.19
2845,16871,9775.88,16316,9602.37,16306,10466.62
2850,15644,9089.74,16563,10338.81,15854,9505.25
2855,16193,10339.35,16647,8586.57,16368,9058.87
2860,16527,11460.3,16709,12516.12,15928,12238.54
2865,15495,9542.52,16370,7952.78,15839,7493.9
2870,15796,8123.11,16894,11227.65,15983,11006.23
2875,16378,10899.79,16986,13422.42,16479,12237.23
2880,16954,13798.24,17422,9426.94,16714,10366.34
2885,17000,8806.96,16855,8298.53,16426,8169.41
2890,16289,8718.33,16842,8602.5,16265,8451.07
2895,16313,8283.37,17321,8889.27,16410,7995.36
2900,16806,8801.79,17555,14473.63,17476,14872.39
2905,16806,14484.44,17410,12760.16,16687,12256
2910,16814,12219.74,16755,8222.57,16136,8033.06
2915,16741,8717.3,16531,8921.32,16382,8829.59
2920,15581,8633.83,17508,12008.4,16360,9150.09
2925,17363,11807.17,17459,9511.48,17459,11598.34
2930,16733,9193.73,16978,8727.3,16131,8298.75
2935,16694,9120.33,16228,8065.29,15864,8505.1
2940,15720,7547.84,16534,9383.29,16087,8892.74
2945,15733,9032.92,16855,9675.12,16480,9446.67
2950,17128,11791.77,16387,11277.08,15508,10156.39
2955,15100,9092.77,16091,8421.23,15743,9011.44
2960,16444,11571.69,16823,11885.29,16369,11810.97
2965,15666,8418.46,16525,13148.2,15894,12781.33
2970,16313,12993.37,17036,9654.61,16780,9289.5
2975,16524,9662.92,16719,10319.8,16223,10270.77
2980,15987,10073.27,16719,11525.27,16039,11460.71
2985,16066,11541.22,15209,7672.69,15132,7464.2
2990,15173,7553.05,16405,8112.9,15534,7807.49
2995,15857,8032.53,15729,7513.71,15524,7314.04
3000,15135,7347.76,16894,11735.76,16547,10758.63
3005,16341,11655.62,15742,11277.59,15346,11033.48
3010,15444,11483.81,16129,9300.02,15310,9974.32
3015,15553,8850.11,15193,9286.03,15233,8727.9
3020,14814,9257.93,16238,13361.18,15726,12903.23
3025,15885,13271.25,16176,8410.21,15392,8833.17
3030,15898,8409.52,15536,8391.16,15538,8107.28
3035,15079,8264.49,16962,9323.15,16232,9116.08
3040,16695,9948.85,17188,12229.92,17342,12456.12
3045,16525,11774.04,16529,11000.45,15420,10163.1
3050,15753,10715.47,15976,10142.92,15330,10196.68
3055,15770,10191.77,15395,7751.77,14983,8079.51
3060,15036,7834.95,15734,10357.69,16060,10427.18
3065,15454,10216.02,16171,10687.76,15151,8515.61
3070,15513,10534.08,15672,8563.19,15401,10090.33
3075,15390,8588.25,15219,9445.46,14832,9249.43
3080,14804,9333.8,14787,7875.98,14501,7891.21
3085,14310,7785.67,16146,13973.59,15730,13959.07
3090,15730,13901.84,16223,9362.6,15581,9454.69
3095,15915,9554.11,14829,7845.13,15199,7802.88
3100,14278,7750.32,15044,9425.43,13851,8848.15
3105,14646,9340.58,16183,8358.49,15930,8048.75
3110,15948,8333.26,16800,8108.91,16110,8067.46
3115,16069,7956.15,13198,6798.55,13036,7136.55
3120,12946,6766.52,15310,10493.17,14924,9884.35
3125,15041,10334.69,15055,8625.68,15317,8330.17
3130,14461,8555.95,13572,8004.62,13260,7921.88
3135,13309,7864.27,15055,9766.4,14331,9488.62
3140,14600,9627.39,16156,12256.02,16323,11810.53
3145,15501,11930.23,15135,7960.49,14395,7827.37
3150,14684,7871.99,14551,9138.39,13938,8824.6
3155,14236,9052.6,14183,9609.22,13815,9413.99
3160,13705,9502.97,15401,11992.31,15419,11922.78
3165,15006,11822.93,14714,22524.71,14622,22640.29
3170,14592,22194.15,13521,7210.85,12940,7102.63
3175,13029,7192.55,14491,8711.02,13920,8116.04
3180,13823,8624.6,14343,7243.11,14244,7602.9
3185,14206,7257.17,15505,9271.45,14682,7894.85
3190,14907,8993.47,15736,8965.88,15889,9706.51
3195,15173,8677.02,14203,7128.93,13712,7102.19
3200,13968,7141.25,16340,12719.14,16047,12404.42
3205,15771,12566.09,16153,8127.17,15644,7783.87
3210,15604,8072.31,14568,6852.88,13798,6768.98
3215,14344,6827.58,16153,8123.44,16146,7895.94
3220,15450,8134.29,13606,10657.34,13140,9620.49
3225,13364,10484.83,17256,10753.49,16378,9356.84
3230,16841,10627.16,14136,10910.88,13868,9563.27
3235,13599,10795.55,15772,7201.27,15511,10610.5
3240,15386,7131.89,16825,8685.73,16168,8380.99
3245,16432,8724.79,18261,9485.59,17605,9215.11
3250,17737,9852.13,18119,15164.37,17925,14850.02
3255,17568,15114.64,16600,9510.16,16139,9095.72
3260,15866,8539.28,16983,11318.43,16017,9347.71
3265,16662,11476.19,15466,8842.45,15356,10619.82
3270,15074,8551.62,17709,10618.04,17429,10500.54
3275,17343,10463.84,16069,9096.66,15568,8894.05
3280,15621,9023.27,15760,7917.28,15800,7985.11
3285,15259,7727.37,16577,9631.3,16133,9157.56
3290,16190,9511.29,17151,13457.88,16119,13304.44
3295,16568,13394.03,16099,8747.9,15773,8709.13
3300,15660,8711.22,16089,8533.39,15547,8347.77
3305,15685,8502.46,16484,10589.45,16069,10374.26
3310,15903,10556.12,16323,8090.38,15741,7705.03
3315,15921,8045.96,15797,8031.47,15655,7923.25
3320,15258,7885.2,15348,8667.44,14658,8339.74
3325,14959,8662.93,16042,7491.74,15457,7483.11
3330,15759,7517.7,16840,13035.97,16062,12604.33
3335,16362,12812.3,15517,8985.12,15128,8993.33
3340,15034,8933.58,15526,11764.68,15377,11569.08
3345,15190,11642.26,15912,10341.93,15316,10052.75
3350,15507,10219.7,15832,10306.94,15338,10033.55
3355,15344,10088.17,14386,8689.36,13770,8591.94
3360,14052,8728.41,15796,9126.4,15307,8774.23
3365,15426,9067.81,14745,9878.75,14276,9726.42
3370,14216,9828.26,14119,8386.42,13950,8098.87
3375,13917,8144.28,15588,8709.71,14908,8456.09
3380,15108,8464.64,17004,11380.42,16292,11183.97
3385,16392,11327.11,16937,8906.8,16090,8729.58
3390,16405,8813.06,16962,8200.78,16377,8033.72
3395,16344,8221.29,15049,7620.42,14714,7494.48
3400,14582,7496.6,16097,10347.82,15596,10104.65
3405,15751,10189.42,15837,8852.1,15480,8691
3410,15437,8880.41,15833,8183.26,15206,7843.31
3415,15305,8092.93,14918,7963.13,14418,7833.61
3420,14522,7942.73,15412,7272.2,15085,7160.38
3425,15138,7346.9,16223,10321.65,15379,10068.08
3430,15577,10226.55,16029,8133.39,15539,7973.97
3435,15515,8102.45,16705,11910.52,16135,11689.35
3440,16121,11694.59,17161,9399.88,16549,8916.26
3445,16695,9282.64,16093,8027.48,15586,8012.31
3450,15630,7982.54,15931,7340.34,15466,6992.11
3455,15452,7266.77,17012,8828.59,16333,8590.02
3460,16326,8640.35,16429,9736.37,15943,9256.94
3465,15975,9365.51,16262,8282.17,15833,8685.14
3470,15828,8853.97,16863,9715.59,16407,9351.98
3475,16523,9573.41,16688,11159.15,15911,10970.83
3480,15893,10902.56,16035,7782.08,16121,7747.24
3485,16102,7841.54,16410,7970.11,15239,7436.49
3490,15168,7666.14,17831,13500.15,16975,13224.51
3495,17094,13331.42,16338,11678.91,15917,11536.08
3500,15901,11659.4,14833,8047.56,14728,8022.81
3505,14580,8071.85,15692,9887.09,14848,9499.4
3510,15065,9746.99,15273,8247.11,15464,8241.38
3515,15272,8391.92,15676,8025.81,15236,7924.65
3520,15075,8036.96,15678,9506.12,15351,9102.06
3525,15250,9186.96,15298,10108.89,14690,9838.86
3530,14487,9977.72,14449,7398.95,14374,7397.61
3535,14286,7560.05,14837,8160.52,14173,7807.84
3540,14119,7908.37,14876,9464.95,14369,9305.67
3545,14255,9360.81,16149,9805.58,15560,7525.99
3550,15675,7787.11,14896,12433.56,14743,13684.3
3555,14686,13567.79,14996,8623.51,14579,8050.2
3560,14615,8231.67,16924,27200.75,15858,21957.96
3565,15709,22194.63,14481,8264.43,15437,17189.23
3570,15171,16903.49,14842,10342.72,14622,10083
3575,14503,10214,14889,8210.08,13901,7825.13
3580,13832,7974.31,14650,8957.79,14608,9132.47
3585,14526,9027.93,14225,10011.68,14020,9831.62
3590,13881,9889,15133,9213.82,14577,9152.5
3595,14406,9129.37,16839,9614.72,15818,8139.75
3600,15824,8401.67,14676,8523.47,15320,9799.7
3605,15356,9713.47,15678,19118.23,15277,18994.98
3610,15139,19158.3,15110,8130.02,13662,8260.12
3615,13594,8326.19,14888,7823.64,14453,7589.77
3620,14495,7713.59,16155,11886.53,16443,11562.57
3625,16468,11663.09,15583,23990.86,15700,24428.39
3630,15484,24235.23,15736,9481.64,14690,8323.74
3635,14736,8495.86,15780,12021.81,14909,9845.47
3640,14803,9859.72,16648,8756.33,16343,11128.87
3645,16540,11189.82,17548,15572.87,16282,14458.28
3650,16195,14511.77,13719,7743.04,14310,9049.2
3655,14278,9050.69,16334,10631.68,15312,8313.19
3660,15239,8440.69,14392,12829.26,14177,14072.84
3665,14219,14230.28,14773,22546.36,14912,22577.21
3670,14845,22632.83,16164,17485.69,14114,9985.26
3675,13965,10080.18,15068,8237.72,16613,16063.41
3680,16589,16139.63,14676,9248.28,14039,8456.84
3685,13928,8519.9,16353,15304.27,15446,14848.07
3690,15444,14907.76,17367,12019.47,16656,12662.47
3695,16873,12782.59,16012,11285.6,15592,11119.4
3700,15593,11119.08,16782,9141.74,16164,8527.86
3705,16161,8665.35,16769,15434.34,15093,7013.91
3710,15215,7122.96,16467,9284.6,16995,16490.93
3715,16986,16453.58,17134,9116.56,16859,9841.73
3720,16943,10062.44,17088,11462.42,16585,11162.65
3725,16685,11200.46,15816,8334.24,15013,7403.86
3730,14971,7553.01,15846,7841.3,15342,8164.32
3735,15546,8240.76,16781,9625.16,16216,9746.13
3740,16271,9966.57,16258,8874.81,15917,8786.9
3745,15859,8781.14,17145,10837.45,16088,8035.31
3750,16095,8280.11,16623,7749.5,16555,10230.45
3755,16542,10275.45,17002,13537.99,16297,12862.49
3760,16320,12974.74,16627,9719.85,16141,9466.08
3765,16190,9498.88,17050,19476.96,16389,17040.34
3770,16467,17013.9,15145,9362.19,15279,12569.67
3775,15340,12659.1,16350,9991.55,15528,9910.65
3780,15676,10014.38,17109,11415.12,16658,11288.4
3785,16515,11277.45,16084,10463.62,15441,10070.87
3790,15654,10156.49,16297,11623.79,16012,11688.21
3795,15808,9843.44,17053,14365.77,16351,13128.9
3800,16465,14890.1,14750,13591.94,15028,14262.55
3805,15116,14492.42,15128,10994.37,14464,10649.63
3810,14365,10737.51,15000,8438.49,14847,8340.39
3815,14618,8381.13,16020,13641.22,15226,13117.34
3820,15539,13276.75,16002,16008.03,15512,15385.86
3825,15102,15538.76,15786,9526.06,15361,10100.66
3830,15459,9503.8,17085,10831.89,16280,9945.18
3835,16510,10621.34,14789,8554.21,14880,9355.29
3840,14448,8990.84,14639,10571.01,14396,10224.61
3845,14399,10398.63,15681,8804.54,15379,9079.82
3850,15618,9149.69,15440,8366.26,14368,7972.43
3855,14357,8089.65,16559,12300.06,16337,12157.6
3860,16275,12020.49,13886,8660.07,13923,8593.58
3865,13576,8607.1,14186,8555.31,13656,8389.9
3870,13434,8143.21,15971,8294.2,14909,7844.62
3875,15298,8484.8,15840,17790.47,15760,17432.32
3880,15801,16437.95,14534,10481.64,14286,10894.75
3885,14632,12094.42,17239,12624.98,16309,12216.81
3890,15557,12250.27,14466,6955.44,13978,6819.32
3895,14726,7154.17,15452,8029.5,15363,7911.37
3900,14665,7840.43,16206,11716.57,15869,11446.75
3905,15102,7704.05,14034,7698.22,13680,7541.05
3910,14534,11243.73,15405,7912.71,14381,7626.9
3915,14136,7626.13,15090,8182.53,14538,8053.47
3920,14747,8118.9,14148,7297.54,14019,7396.47
3925,13923,7251.27,16357,9099.51,15707,8911.99
3930,15750,9282.72,13536,7519.68,13584,7684.48
3935,14141,7922.74,14864,13015.6,14200,12815.72
3940,13351,11842.74,15664,11489.85,15551,11301.88
3945,15567,12018.44,14728,7714.17,14284,7361.32
3950,14870,7431.5,15617,7641.47,14936,7469.67
3955,14290,7772.22,15766,8085.75,15178,7478.09
3960,14781,7128.04,17457,9901.79,17119,9981.91
3965,17438,10072.69,17243,11659.28,16067,9958.95
3970,16507,10377.99,16893,8339.99,16976,9563.58
3975,16835,9707.48,16687,15419.36,15308,8970.7
3980,15494,9157.91,16594,7882.34,16866,15321.35
3985,16715,15074.77,15923,10304.59,15900,10074.56
3990,16293,10765.67,16431,8197.52,15231,7825.88
3995,14949,7437.46,16804,10992.05,16737,10805.4
4000,16489,8482.73,16365,7782.46,16031,7833.95
4005,16573,10597.42,14783,7831.71,14082,7746.71
4010,14296,7864.94,15956,9700.54,15379,9375.02
4015,15360,9262.46,16048,11061.49,15354,10298.75
4020,15630,10400.48,16391,9430.89,16077,9884.72
4025,16451,9941.75,15769,10874.24,14857,9963.94
4030,14744,8972.57,16224,8165.85,15668,8673.07
4035,15434,10272.59,15471,8335.37,15321,8129.93
4040,16035,8432.63,15580,10552.52,14843,9842.57
4045,14493,9384.03,16283,8892.58,15733,9017.88
4050,15929,9505.42,14814,13448.9,15030,13299.6
4055,14950,13241.83,15446,8099.65,14417,7880.64
4060,14299,7856.43,14932,10783.68,15229,10808.6
4065,15518,11280.93,15686,8881.47,14250,8603.42
4070,14314,8694.34,15048,8971.91,15560,8969.35
4075,15303,9150.88,14680,8471.57,13986,7173.35
4080,14021,7396.1,15200,11013.36,14468,8978.08
4085,14485,9041.11,15869,18372.79,15959,19809.04
4090,15713,19579.84,16398,10757.07,15080,9798.58
4095,15999,10067.81,15936,10705.3,15091,10768.19
4100,14226,10495.97,13724,8107.79,14062,8381.81
4105,14220,8425.45,15120,11360.43,14606,11119.6
4110,14873,11170.16,15085,9471.91,14768,9664.6
4115,14744,9820.93,15805,8791.8,15487,8371.81
4120,15171,7577.52,18433,44564.9,17298,42322.79
4125,17223,43137.4,18332,19193.66,17768,18874.76
4130,17411,18706.8,16013,7494.2,15241,7291.62
4135,15725,7673.03,17388,8600.77,16725,8319.8
4140,16596,8742,16789,9434.94,15976,9221.48
4145,16447,9403.2,16609,8303.7,15918,8039.65
4150,16159,8151.3,16054,6940.31,15610,6774.29
4155,15387,6948.22,18788,55472.8,15028,6909.65
4160,15334,7060.58,14551,7977.48,16258,51894.54
4165,15744,51008.37,18039,11157.86,17200,8671.14
4170,17364,8959.07,16915,7843.26,17220,10569.75
4175,16981,10615.92,17813,10647.79,17293,9984.38
4180,17031,9931.38,15761,8941.5,14926,8080.81
4185,16001,8600.61,16960,9371.15,16393,9838.9
4190,15567,9771.61,16923,13686.84,16076,10277.89
4195,15609,7542.52,14840,9323.12,16787,12534.88
4200,17731,14153.19,8988,5767.71,10122,6159.19
