,Client 1,,Client 2,,Client 3,
Time,RT,STD,RT,STD,RT,STD
610,15958,8821.89,17027,8941.58,16035,8749.54
615,17148,11669.25,17234,11403.21,16661,11111.17
620,15811,7719.67,18434,17546.98,17071,9563.37
625,18724,19008.95,17516,11960.82,18349,18640.12
630,16766,9771.42,17456,11423.54,16357,7904.29
635,16511,12386.52,16993,9488.37,16796,12104.71
640,17945,13603.86,17512,13621.91,17671,13616.84
645,15333,7758.25,15969,7777.16,15402,7652.02
650,16210,12882.64,16863,13205.5,16597,12811.89
655,16637,9366.49,16505,9521.3,16588,9494.32
660,15518,8324.81,16692,9885.76,15359,8748
665,14686,9178.59,15105,15532.02,15194,15673.87
670,15837,15919.87,16373,7664.97,15441,7357.09
675,15377,8391.83,15905,8684.9,15004,7978.8
680,16052,8911.16,16209,8693.27,16016,8918.15
685,16051,9859.45,16521,10071.71,15930,10028.17
690,15793,7560.44,15564,7385.3,15478,6850.99
695,15089,8623.66,16098,11147.22,15202,8786.59
700,15134,11398.81,15735,10250.99,15081,11647.28
705,16086,16241.76,16735,17672.03,16357,16221.85
710,15516,10945.93,14641,7604.4,14644,10260.9
715,14305,11956.92,16548,14040.53,15369,12914.09
720,16113,10730.1,15782,9195.69,15930,9821.02
725,14698,8306.66,16264,16711.89,14904,13700.33
730,15287,16150.76,14416,8076.81,14719,11367.45
735,14008,8334.22,13846,8671.3,13769,8218.19
740,13482,8733.97,15419,8682.15,14728,9255.44
745,14268,7463.87,14788,7797.8,14004,6997.5
750,15091,8216.06,14879,9327.08,14774,8622.61
755,16529,19658.74,16595,18987.55,16206,19168.62
760,14008,8689.62,14356,8927.91,14294,8692.45
765,14211,7759.12,15146,9043.44,14883,8650.16
770,13888,8897.82,14752,8475.14,13842,7918.68
775,15619,14226.77,14724,15139.7,15141,15245.17
780,14185,10056.19,13820,7312.45,13581,7507.15
785,12892,6983.36,13396,7052.1,13178,7086.98
790,12895,6944.02,14154,8071.46,12843,7012.11
795,14977,8295.87,16717,13576.63,16410,13948.32
800,15936,16287.39,16357,11978.34,15827,11766.56
805,15625,7902.21,13802,8440.37,14800,8475.89
810,12822,11049.75,14362,11944.95,13572,11333.78
815,14573,10847.4,13880,10147.32,13875,9882.95
820,13658,7939.09,15641,10002.79,15061,9882.41
825,13917,9226.09,15822,15509.59,14796,14910.9
830,15848,17836.45,15478,11336.18,14980,11452.4
835,14880,8059.79,15394,7936.58,14976,7904.36
840,16185,8536.43,15774,8730.08,15694,8549.8
845,15571,9413.47,17643,12107.06,17000,11783.32
850,16456,10399.85,15495,7823.25,15680,7688.35
855,16211,11184.11,17795,11342,16638,10866.33
860,18950,44869.95,17801,41126.77,17947,43657.21
865,14642,7519.22,15791,8982.43,14804,7734.52
870,15668,9476.46,15827,9269.86,15813,9856.61
875,14731,8069.31,14910,7555.94,13933,6736.21
880,15021,8510.1,15064,9176.3,15382,9244.23
885,14651,8508.38,15658,7961.48,15674,7771.55
890,15506,7455.19,17084,12099.4,15452,11025.55
895,16798,19476.07,16024,17201.87,16833,17696.81
900,14940,12856.84,15583,14163.49,14861,13862.8
905,15220,13941.98,14936,13024.25,15160,12763.26
910,13686,11145.29,14049,10723.15,13738,10896.52
915,13893,7801.3,15395,10703.95,14795,10342.57
920,14896,10837.18,14799,9321.24,14788,8356.8
925,15143,9073.16,14763,8000.78,14994,8982.75
930,14318,7707.31,15958,8791.48,14778,8169.94
935,14966,8518.86,15956,10515.1,15467,10539.9
940,15447,9958.74,14581,12385.63,14573,7262.77
945,16205,24493.02,18558,23534.48,18021,26354.25
950,16916,10529.64,15525,8317.4,15330,8310.15
955,15225,8317.13,16074,9391.64,15494,8373.26
960,13953,9454.9,14641,8088.63,14756,8874.06
965,15650,6936.44,13808,6930.48,14486,6777.72
970,13323,9377.96,16220,9898.74,14751,9549.37
975,16143,7645.83,16471,8554.89,16035,7935.84
980,16174,7887.01,17458,16069.46,17496,16500.89
985,16979,16286.05,16065,8095.16,15804,7601.5
990,16007,8692.93,17264,8964.5,16111,8548.42
995,16621,8992.45,16625,12308,16588,12289.01
1000,15639,11201.89,16156,7335.56,15569,7342.8
1005,16045,7920.84,16566,8292.32,16285,8138.89
1010,16390,9486.88,16109,8815.09,15727,8867.43
1015,15621,8506.92,16297,8634.7,15940,8211.64
1020,16156,7725.61,17081,7853.43,16304,7646.91
1025,15739,7336.99,16754,12436.23,15568,7630.49
1030,15469,11816.35,15350,8082.85,15579,11815.63
