,Client 1,Client 2,Client 3
Time,TPS,TPS,TPS
1240,4048,3774,3834
1245,3812,3689,3752
1250,3888,3944,4094
1255,4136,3759,3846
1260,4005,4105,4186
1265,4277,4351,4498
1270,4489,4029,4333
1275,3918,4066,4039
1280,4340,4022,4052
1285,3975,3679,3961
1290,3782,3851,3909
1295,4306,4133,4375
1300,4069,3879,3888
1305,4124,4097,4216
1310,4181,4089,4150
1315,4048,4028,4062
1320,4217,4123,4380
1325,4179,3876,3944
1330,3702,3647,3826
1335,4094,3939,3981
1340,3921,4377,4275
1345,4494,4442,4415
1350,4550,3910,4232
1355,4572,4335,4591
1360,4048,4587,4621
1365,4964,4466,4513
1370,4116,3884,4051
1375,4028,4092,4250
1380,4085,3585,3707
1385,3778,4304,4448
1390,4217,3635,3690
1395,3832,3772,3854
1400,3829,3522,3798
1405,3754,3628,3681
1410,3715,3475,3599
1415,3631,3804,3926
1420,3846,3748,3874
1425,3860,3708,3778
1430,3925,3869,3987
1435,3911,3735,3789
1440,3931,3854,4022
1445,4019,4004,4065
1450,4101,3827,4061
1455,3951,3795,3940
1460,3772,3953,3826
1465,4134,3653,3988
1470,3613,3649,3621
1475,3836,3720,3906
1480,3973,3765,3919
1485,3686,3881,3792
1490,4112,3982,4106
1495,4191,3987,4216
1500,3918,3784,3925
1505,3899,3836,3784
1510,4092,4001,4205
1515,4028,3754,3764
1520,3842,3854,4148
1525,4034,3920,3951
1530,4036,3959,4076
1535,3777,3906,3881
1540,4122,3819,3950
1545,4080,3922,4232
1550,3680,3803,3741
1555,4043,3645,3816
1560,3953,3847,3895
1565,3902,4329,4172
1570,5006,4759,5170
1575,4207,4106,3945
1580,4533,4128,4369
1585,4037,3839,3973
1590,4172,4219,4237
1595,4393,4088,4298
1600,4239,4123,4166
1605,4178,4139,4369
1610,4365,4141,4214
1615,4130,3883,3983
1620,3882,3934,4040
1625,3982,3756,4001
1630,4072,3643,3419
1635,3620,4037,4221
1640,4936,4579,4838
1645,3993,3822,3959
1650,4088,4186,4326
1655,4336,3930,4100
1660,4042,3836,4047
1665,3957,3985,3957
1670,4266,3840,4098
1675,3603,3752,3787
1680,4209,3866,4222
1685,3835,3858,3775
1690,3898,3930,4009
1695,4273,4047,4319
1700,4037,4405,4009
1705,4691,4171,4566
1710,3978,3619,3727
1715,4171,4728,4695
1720,4640,4038,4321
1725,3950,3497,3545
1730,3780,4088,4161
1735,4121,4120,4122
1740,4316,4189,4314
1745,4202,4069,4348
1750,4101,4063,4068
1755,4220,3645,3779
1760,3528,3697,3837
1765,4073,3800,4027
1770,4037,4228,4265
1775,4126,3821,4028
1780,4109,3915,4087
1785,4030,3690,3917
1790,3773,3752,3757
1795,3752,3890,3911
1800,4170,3927,4117
1805,3923,3565,3719
1810,3880,4161,4122
1815,4301,4082,4248
1820,4373,4049,4126
1825,4116,4151,4232
1830,4082,3417,3559
1835,3593,3753,3947
1840,3731,3876,3870
1845,3985,3816,3862
1850,4056,4174,4356
1855,4212,4049,4223
1860,3973,3366,3742
1865,3538,3621,3496
1870,3908,3803,4003
1875,3472,3428,3543
1880,3937,3686,3868
1885,3808,3643,3875
1890,3899,3875,3911
1895,3836,3698,3848
1900,3665,3504,3598
1905,3714,3842,3999
1910,3794,3643,3718
1915,3956,3753,3928
1920,3792,3822,3951
1925,3662,3662,3684
1930,4037,3710,3890
1935,3612,3638,3770
1940,4051,3978,4088
1945,4113,3914,3995
1950,3996,3964,4217
1955,4132,3972,3989
1960,3862,3835,3948
1965,4192,3936,4236
1970,4389,4221,4290
1975,4062,3488,3653
1980,3588,3726,4055
1985,3951,4248,4153
1990,4177,3884,3972
1995,4250,4332,4550
2000,4447,3973,4091
2005,3909,3892,4120
2010,4224,4433,4255
2015,4282,3767,4039
2020,4111,4038,4043
2025,4203,4394,4624
2030,4555,4297,4305
2035,4211,3699,4033
2040,3833,4124,4136
2045,4410,4392,4360
2050,4238,4011,4149
2055,4224,4265,4352
2060,4476,4049,4289
2065,4292,4264,4376
2070,4206,3984,4136
2075,4300,4113,4084
2080,4122,4258,4358
2085,4280,3909,4151
2090,4244,4166,4142
2095,4271,4181,4363
2100,4379,3949,4148
2105,4018,4173,4169
2110,4102,4323,4298
2115,4639,4066,4300
2120,4113,4178,4092
2125,4354,4096,4504
2130,4227,4115,4184
2135,4123,4208,4252
2140,4403,4072,4233
2145,4638,4727,4752
2150,4536,4501,4508
2155,4746,3930,4185
2160,3861,4296,4340
2165,4504,4428,4497
2170,4880,4633,4807
2175,4596,4229,4345
2180,4436,4485,4596
2185,4429,4440,4761
2190,4457,3965,3952
2195,4426,4323,4381
2200,4548,4533,4682
2205,4816,4487,4826
2210,4179,4051,4040
2215,4557,3999,4153
2220,3793,3544,3683
2225,3706,3776,3940
2230,4005,4116,4233
2235,4160,3632,3788
2240,3708,3712,3836
2245,3828,3723,3887
2250,3877,3773,4018
2255,4017,4144,4064
2260,4215,4017,4220
2265,4250,4158,4113
2270,4223,3940,4089
2275,3802,4199,4368
2280,4610,3936,4210
2285,3916,4112,4085
2290,4194,3848,4140
2295,4144,4286,4198
2300,4318,3475,3856
2305,3771,4113,4044
2310,4099,3898,4078
2315,4098,3759,3960
2320,3750,3792,3885
2325,3998,3638,3811
2330,3706,3949,3978
2335,4118,3892,4024
2340,4158,4219,4330
2345,4334,3985,4074
2350,3862,4088,4196
2355,4367,3911,4164
2360,4072,3920,4034
2365,4224,4229,4435
2370,4434,4355,4336
2375,4651,4545,4495
2380,4327,4017,4192
2385,4245,4395,4484
2390,4427,3961,4337
2395,4062,4230,4141
2400,4423,4027,4234
2405,4245,4486,4411
2410,4525,4552,4631
2415,4591,4287,4334
2420,4309,4081,4338
2425,4320,4047,3972
2430,4071,4137,4376
2435,4391,4168,4317
2440,4115,4260,4497
2445,4714,4529,4481
2450,4308,4167,4288
2455,4336,4096,4149
2460,3987,3985,4104
2465,4532,4305,4432
2470,4381,4152,4226
2475,4188,4118,4266
2480,4376,4444,4543
2485,4369,3941,4166
2490,4428,4378,4414
2495,4528,4548,4627
2500,4832,4610,4669
2505,4532,4361,4531
2510,4460,3989,4238
2515,4130,4178,4393
2520,4317,4811,4747
2525,5013,3739,4040
2530,3826,3889,3881
2535,3831,3699,3807
2540,4150,3911,4144
2545,3695,3526,3690
2550,3683,3523,3823
2555,3685,3890,3926
2560,4031,3700,3923
2565,3782,3510,3631
2570,3668,3664,3799
2575,3707,3614,3823
2580,3904,3938,4161
2585,3887,3654,3684
2590,3852,3709,3774
2595,3761,3774,3879
2600,3757,3607,3750
2605,3815,3749,3853
2610,3929,3839,3917
2615,3992,4216,4188
2620,4144,3645,3991
2625,4037,3658,3937
2630,3677,3844,3878
2635,3894,3567,3796
2640,3756,3648,3713
2645,3855,3793,3977
2650,3994,3731,3867
2655,3833,3899,4042
2660,4103,3570,3736
2665,3626,3682,3915
2670,3766,3876,3901
2675,4048,3794,3899
2680,3953,3958,4031
2685,3986,3878,3957
2690,4115,3876,4055
2695,4049,4073,4117
2700,4121,3910,4103
2705,4033,3780,3879
2710,4051,4268,4542
2715,4440,3761,3802
2720,3849,3898,4134
2725,4020,3705,3818
2730,3857,3785,3849
2735,3928,3914,4063
2740,4053,4053,4225
2745,4178,3958,4038
2750,3867,3775,3994
2755,4069,4015,4085
2760,4105,4153,4174
2765,4300,4146,4313
2770,4184,3989,4213
2775,4247,4014,4088
2780,4114,4143,4172
2785,4106,4047,4210
2790,4183,4026,4168
2795,4087,3751,3949
2800,3832,3914,3946
2805,4063,3947,4075
2810,3877,3817,3857
2815,4156,4582,4686
2820,4557,3839,4118
2825,3858,4012,4166
2830,4165,3767,3989
