MEAN TIMES,,,,,,,,,,,,,,,,,,,,,,
3_1_w1,t_total,t_queue,t_mcd,leftover,,5_1_w1,t_total,t_queue,t_mcd,leftover,,7_1_w1,t_total,t_queue,t_mcd,leftover,,,,,,
1% write,616.6875,1280.75,4832.6875,10334.4375,,1% write,1073.75,2200.125,6865.4375,14723.35,,1% write,575.5625,1156.75,3821.1875,9635.575,,1% write,724.375,1536,6253.875,13132.25
5% write,763.125,1676.125,6370.125,13788.95,,5% write,1424.1875,3316.875,7959.4375,15784.9375,,5% write,793.4375,1616.75,4685,9734.6625,,5% write,817,1931.5,6969.75,17019.15
10% write,880.1875,2059.625,6934.3125,14822.9125,,10% write,1735,4765.75,9121.5,17713.8875,,10% write,938.25,1991.25,5823.25,10833.425,,10% write,884,2351.875,7821.5,18061.4625
,,,,,,,,,,,,,,,,,,,,,,
MEMASLAP DATA,,,,,,,,,,,,,,,,,,,,,,
,3 servers,,,5 servers,,,7 servers,,,,,,,,,,,,,,,
TPS,1%,5%,10%,1%,5%,10%,1%,5%,10%,,,,,,,,,,,,,
R = 1,15358.95,16203.65,16547.5,12078.75,13036.875,13873.175,9406.15,10098,10584.075,,,,,,,,,,,,,
R = all,15029.125,15793.275,15329.95,11987.1,12858.85,13257.375,9461.475,9726.325,10150.2,,,,,,,,,,,,,
STD R = 1,577.2361454,247.0851523,478.5729098,256.9901992,310.8046442,447.5039406,110.6541798,211.3228454,170.9653967,,,,,,,,,,,,,
STD R = all,535.7546611,256.4642409,314.728649,245.8030004,411.3930025,355.5669302,79.36829893,101.5220266,136.6894839,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,3 servers,,,5 servers,,,7 servers,,,,,,,,,,,,,,,
Res time,1%,5%,10%,1%,5%,10%,1%,5%,10%,,,,,,,,,,,,,
R = 1,24446.59848,23330.01515,22711.56818,31028.71212,28855.70455,27124.81061,39719.83333,37071.93182,35360.7803,,,,,,,,,,,,,
R = all,24989.68939,23738.18182,24518.09848,31426.0303,29234.28788,28237.70455,39543.87879,38529.54545,36843.01515,,,,,,,,,,,,,
STD R = 1,11382.27614,10664.11386,10336.41674,13978.85917,12879.40917,11965.95167,19994.4428,18316.76811,17164.25644,,,,,,,,,,,,,
STD R = all,10640.76841,10747.78023,11113.45508,14101.99432,12964.78379,12554.45076,19558.73886,18517.51159,17771.83682,,,,,,,,,,,,,
