1st run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clients,8 threads,,,,8 threads,STD,Confint,,16 threads,,,,16 threads,STD,Confint,,24 threads,,,,24  threads,STD,Confint,,32 threads,,,,32 threads,STD,Confint
,28,9533.3,9135.3,9290.1,9875,,9458.425,279.2329079,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Threads,,AVG RES,STD RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,40051.69697,21857.94364,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,,39470.96212,22858.34068,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,,39468.10606,22509.75689,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,,41055.04545,25717.07159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3rd run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clients,TPS,,,,,,AVG TPS,STD TPS,,,,,,,,,,,,,,,,,,,,,,,
,116,9689.1,9551.1,10070.7,9793.9,10206,,9862.16,242.1084022,,,,,,,,,,,,,,,,,,,,,,,
,120,10451.8,9438.9,10093.5,9363.4,10331.3,,9935.78,452.1276165,,,,,,,,,,,,,,,,,,,,,,,
,124,10030.4,9840.5,10250.5,10689.7,9832.8,,10128.78,319.3227671,,,,,,,,,,,,,,,,,,,,,,,
,132,10225.1,9818.4,9653.6,10402.7,10330.3,,10086.02,295.9424633,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clients,,AVG RES,STD RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,116,,35770.70303,21220.66812,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,120,,36804.53333,20956.80473,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,124,,37290.24848,22771.50242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,132,,39811.21212,22156.97006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW LOGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Op. type,T (total),T (queue),T (server),T (left),Offset from MSL,,,,Op. type,T (total),T (queue),T (server),T (left),Offset from MSL,,,,,,,,,,,,,,,,
,112 clnts.,get,23348.53,7951.73,2328.70,13068.10,10828.31,,,12 thrds.,get,25965.95,12025.86,2306.38,11633.71,14085.75,,,,,,,,,,,,,,,,
,,set,16371.32,2189.97,6665.45,7515.90,,,,,set,17441.70,2197.98,6750.59,8493.14,,,,,,,,,,,,,,,,,
,124 clnts.,get,24900.44,9455.53,2486.61,12958.30,12389.81,,,16 thrds.,get,24619.86,9532.76,2461.41,12625.69,14851.11,,,,,,,,,,,,,,,,
,,set,16753.54,2140.22,7160.61,7452.71,,,,,set,17412.99,2261.26,6896.10,8255.63,,,,,,,,,,,,,,,,,
,128 clnts.,get,25358.57,9590.12,2340.81,13427.64,13285.47,,,20 thrds.,get,24878.77,8345.50,2590.64,13942.64,14589.33,,,,,,,,,,,,,,,,
,,set,18268.58,2314.21,6608.37,9346.01,,,,,set,17272.63,2248.00,6981.47,8043.16,,,,,,,,,,,,,,,,,
,144 clnts.,get,28452.13,12160.03,2411.55,13880.55,15176.10,,,24 thrds.,get,25383.79,7227.31,2867.11,15289.37,15573.85,,,,,,,,,,,,,,,,
,,set,19375.41,2308.06,6783.36,10283.99,,,,,set,17954.12,2241.76,6812.91,8899.45,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T (queue),get,25%,50%,75%,95%,,,,T (queue),Op. type,25%,50%,75%,95%,,,,,,,,,,,,,,,,,
,112 clnts.,get,170.75,3970.00,10820.25,28108.13,,,,12 thrds.,get,644.38,7696.88,16607.81,42994.58,,,,,,,,,,,,,,,,,
,,set,2.50,337.00,2154.75,9312.25,,,,,set,2.00,296.25,2463.50,9307.25,,,,,,,,,,,,,,,,,
,124 clnts.,get,609.25,6074.63,12499.56,31791.69,,,,16 thrds.,get,612.31,5910.50,12593.94,31849.91,,,,,,,,,,,,,,,,,
,,set,2.00,306.38,2413.81,9285.40,,,,,set,2.00,315.38,2426.06,9398.30,,,,,,,,,,,,,,,,,
,128 clnts.,get,428.00,5916.25,12695.69,32964.56,,,,20 thrds.,get,460.25,4771.13,10645.63,26809.21,,,,,,,,,,,,,,,,,
,,set,3.00,383.50,2554.50,9463.45,,,,,set,2.00,333.75,2488.88,9411.65,,,,,,,,,,,,,,,,,
,144 clnts.,get,759.44,7335.13,16266.38,41683.48,,,,24 thrds.,get,257.69,3744.00,9579.00,23719.59,,,,,,,,,,,,,,,,,
,,set,2.50,382.38,2528.00,9529.55,,,,,set,2.50,371.75,2346.25,9409.10,,,,,,,,,,,,,,,,,
